params,ari_mean,ari_std,ari_median,nmi_mean,nmi_std,nmi_median,silhouette_mean,silhouette_std,silhouette_median,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_median,coverage_mean,coverage_std,coverage_median,n_runs_ok,dataset,config_id
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.256246740535736,0.060550664677253466,0.244153134747978,0.41863212838472247,0.0428920628769071,0.4154339083830163,-0.4311687417436747,0.06986444116806148,-0.43279500775862,13.81971848129174,6.083600989619306,12.73672975583752,0.997003745318352,0.007213992615827052,1.0,30,wine,110
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.25563485647171336,0.058965695298648695,0.25488362397847714,0.42779420251487477,0.05295908900154113,0.43453276286727194,-0.3894373655297375,0.07170436993384642,-0.3762388133402672,15.8151941382147,7.401447087193617,14.255988418894232,1.0,0.0,1.0,30,wine,125
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.2556281759910688,0.06332843121831577,0.2532366598696762,0.4244326603739198,0.05076349513715271,0.41766329158758964,-0.40274932322319595,0.08834936249367163,-0.3913444470146138,15.16228758875623,6.198108012477568,13.901351025304947,1.0,0.0,1.0,30,wine,118
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.255449284913778,0.06639803538936835,0.24898447048392625,0.4184442435934239,0.0495988816581886,0.42234151913253215,-0.41050184660137745,0.07071882134623954,-0.42774761045898535,14.175458480310423,6.964037582272946,13.825045371633419,1.0,0.0,1.0,30,wine,116
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.2533607277184752,0.04661212580742774,0.2416790476379107,0.4213029200745671,0.050376051592106966,0.42323587881855596,-0.38821972677584654,0.07155099878112983,-0.3692503451637115,14.45672180655314,7.095161867723909,13.153623744790302,1.0,0.0,1.0,30,wine,123
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.25253704865625226,0.05560146825527077,0.24665092384817133,0.4245867501490849,0.04674060990831268,0.4303067310008287,-0.38653415608987285,0.06352542224627947,-0.38265959503462604,14.858567673733514,5.235537514467828,14.126976239195127,1.0,0.0,1.0,30,wine,124
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.25201912985655156,0.06860087072150071,0.23290582893959338,0.4202364331542092,0.05810906950775565,0.41101353260866386,-0.4077940543211818,0.08073270894538426,-0.40031230260667683,12.942441500176887,4.899200913898157,11.843961684111768,1.0,0.0,1.0,30,wine,119
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.2513899304930277,0.04958471618576489,0.24759605796164122,0.4191117825208612,0.04585532505052563,0.42434249654288597,-0.39146018082594075,0.07021413993360413,-0.38761058482582056,13.70560486098804,6.196875777513433,12.50196468216799,1.0,0.0,1.0,30,wine,122
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.24662027265705969,0.039162935827968176,0.24248595743330492,0.4903354453125454,0.02278495371355825,0.4934081591609576,-0.5861936772159628,0.04835718959234442,-0.5908011679906799,12.847281962310456,3.6912503281667433,12.48900104322174,0.999812734082397,0.0010084578290514075,1.0,30,wine,148
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.24599738852646272,0.056028791496723365,0.23027788759931664,0.4139349985237662,0.04573096844244488,0.4102530538071663,-0.40728295050254,0.07402575352453072,-0.4025993118399708,13.060472197467977,6.190992472665284,12.218696342351073,1.0,0.0,1.0,30,wine,117
